DATE,EXEC_SPEND,BIZ_SPEND,PLAT_SPEND,MMM_SPEND,DESKTOP_SPEND_DELTA,ADJUST_VS_UNIFIED_DELTA
2025-10-04,21207.629300000004,21207.629299999997,26721.889486,27371.716334,5514.260185999996,-6164.0870339999965
2025-10-03,22306.406300000002,22306.4063,27878.785283000005,28470.596045000002,5572.378983000002,-6164.189745
2025-10-02,19225.8465,19225.8465,24045.583010000002,24539.632177,4819.736510000002,-5313.785677
2025-10-01,19855.7435,19855.743499999997,25420.721704999993,26018.977065,5564.978204999992,-6163.233564999999
2025-09-30,18640.1545,18640.154499999997,23295.442709000003,23812.259257,4655.288209000002,-5172.104757000001
2025-09-29,20274.6768,20274.676799999997,25242.918174000002,25801.265039,4968.241374000001,-5526.588239000001
2025-09-28,20837.4098,20837.4098,27022.472163,27509.850398000002,6185.062362999997,-6672.440598000001
2025-09-27,19406.9563,19406.956299999998,25173.164174999998,25709.771378,5766.207874999996,-6302.815078
2025-09-26,19320.3166,19320.316600000002,24790.247611,25301.75854,5469.931011000001,-5981.441940000001
2025-09-25,17157.1416,17157.1416,21748.547913999995,22291.782475,4591.406313999996,-5134.640875000001
2025-09-24,16676.3461,16676.3461,21102.023092,21626.322523,4425.676992000001,-4949.976423
2025-09-23,16397.3881,16397.3881,20914.19458,21548.284775,4516.806479999999,-5150.896675
2025-09-22,16808.296799999996,16808.2968,21125.333316000004,21457.187385,4317.036516000007,-4648.890585000005
2025-09-21,17349.6514,17349.6514,21931.890613,22332.919572,4582.239213000001,-4983.268172
2025-09-20,16003.0088,16003.0088,20527.127489000002,20999.061697,4524.118689000003,-4996.052897000001
2025-09-19,15159.031099999998,15159.0311,19438.633876,19894.937154,4279.6027760000015,-4735.906054000001
2025-09-18,15751.4101,15751.410100000001,20467.652851,20968.975706999998,4716.242751,-5217.565606999999
2025-09-17,16424.9842,16424.9842,20989.185015000003,21457.493939,4564.200815000004,-5032.509739000001
2025-09-16,16571.6801,16571.680099999998,21470.617881000006,21977.439677,4898.937781000004,-5405.759576999997
2025-09-15,16344.553100000001,16344.5531,21053.405245,21557.884644,4708.852145000001,-5213.331544000001
2025-09-14,17583.100700000003,17583.1007,22225.623616999997,22748.210852,4642.522916999995,-5165.1101519999975
2025-09-13,16039.1677,16039.1677,20608.355910000002,21097.695277,4569.188210000002,-5058.527576999999
2025-09-12,15720.150000000001,15720.15,19732.799812,20240.657484,4012.6498119999997,-4520.507483999998
2025-09-11,14914.4392,14914.4392,19374.216462999997,19885.733061,4459.777262999996,-4971.293860999998
2025-09-10,15398.460100000002,15398.4601,19904.400711000002,20413.774127,4505.940611,-5015.3140269999985
2025-09-09,15585.502300000002,15585.5023,20147.181364,20702.143387,4561.679063999998,-5116.641086999998
2025-09-08,15814.3513,15814.3513,20336.331742,20923.501765999998,4521.980441999998,-5109.150465999997
2025-09-07,16119.7839,16119.7839,20236.343201,20762.228811,4116.559300999999,-4642.4449110000005
2025-09-06,15008.127900000001,15008.1279,19395.347710000002,19881.366388000002,4387.2198100000005,-4873.238488000001
2025-09-05,15797.9941,15797.9941,20432.089226,20989.269093,4634.095126,-5191.274992999999
2025-09-04,15554.400899999999,15554.4009,20024.126937,20540.701404,4469.726037000002,-4986.300504000001
2025-09-03,14973.4695,14973.469500000001,19438.072923,19966.314583000003,4464.6034230000005,-4992.845083000004
2025-09-02,14727.124099999997,14727.124099999999,19162.760437999998,19720.581683,4435.636338,-4993.457583000003
2025-09-01,15620.6463,15620.646299999999,20104.329244000004,20682.18896,4483.682944000004,-5061.542659999999
2025-08-31,13992.8099,13992.8099,17579.555799,18149.789636,3586.7458990000014,-4156.979736000001
2025-08-30,13597.7749,13597.7749,17330.289266,17922.996314,3732.5143659999994,-4325.221414
2025-08-29,14080.503400000001,14080.5034,17899.960557,18489.417573,3819.457156999997,-4408.914172999997
2025-08-28,14221.604000000003,14221.604,18355.819151,19057.817054,4134.215150999997,-4836.213053999996
2025-08-27,13840.866499999998,13840.8665,18266.940512999998,18812.250663,4426.0740129999995,-4971.384163000001
2025-08-26,14926.861299999997,14926.861299999999,19235.421959,19817.391707,4308.5606590000025,-4890.530407000002
2025-08-25,14891.633999999998,14891.634,19350.402124,19968.51928,4458.768124000002,-5076.885280000002
2025-08-24,14484.0373,14484.0373,19047.297039999998,19497.843155000002,4563.259739999998,-5013.805855000002
2025-08-23,14381.9343,14381.934299999999,19421.092939,19834.207558000002,5039.1586389999975,-5452.273258000001
2025-08-22,14023.325000000003,14023.325,18155.168723,18647.673938,4131.843722999996,-4624.348937999997
2025-08-21,14245.2617,14245.261700000001,18120.5867,18524.660522000002,3875.3250000000007,-4279.398822000003
2025-08-20,16278.4838,16278.4838,20606.141254000002,21226.907018,4327.657454000002,-4948.423218000002
2025-08-19,14967.0757,14967.0757,19339.393427,19853.592599,4372.317727,-4886.516899
2025-08-18,15287.5673,15287.5673,19815.264641,20271.339591,4527.697341000001,-4983.772290999999
2025-08-17,16082.836900000002,16082.836900000002,20805.922946999995,21374.438721,4723.086046999993,-5291.601820999997
2025-08-16,14550.8763,14550.8763,19108.691434,19562.404165,4557.815134,-5011.527865
2025-08-15,15550.7333,15550.7333,19921.22963,20388.13224,4370.496330000002,-4837.398939999999
2025-08-14,15095.238599999999,15095.2386,19478.279367000003,19978.185282000002,4383.040767000004,-4882.946682000003
2025-08-13,15382.5132,15382.513199999998,19994.715403000002,20506.071217,4612.202203000003,-5123.558017000001
2025-08-12,16385.7755,16385.7755,20945.858290000004,21445.585617,4560.082790000004,-5059.810117000001
2025-08-11,16222.359900000003,16222.3599,20840.1018,21423.671786,4617.741899999997,-5201.311885999996
2025-08-10,16798.664900000003,16798.6649,21731.831016,22318.99928,4933.166115999997,-5520.334379999997
2025-08-09,16028.986699999998,16028.986700000001,20928.482444999998,21434.22613,4899.495745,-5405.239430000001
2025-08-08,16268.465200000002,16268.4652,20925.342371000006,21511.824569,4656.877171000004,-5243.359368999998
2025-08-07,16030.1944,16030.1944,20924.035057,21472.685442,4893.840657000001,-5442.4910420000015
2025-08-06,16408.366400000003,16408.3664,21033.713997,21562.740968,4625.347596999996,-5154.374567999996
2025-08-05,16351.569800000001,16351.569800000001,21020.305255,21569.413561,4668.735454999998,-5217.843761
2025-08-04,16652.7568,16652.7568,21348.936814,21881.710238,4696.180014000001,-5228.9534380000005
2025-08-03,18011.7782,18011.7782,22939.495774,23510.775379,4927.717573999998,-5498.997178999998
2025-08-02,16498.671100000003,16498.6711,21355.911349,21844.677496,4857.240248999999,-5346.006395999997
2025-08-01,16612.2978,16612.2978,20970.292583000002,21409.086471,4357.994783000002,-4796.788670999998
2025-07-31,14878.223899999999,14878.2239,18992.277104,19484.300723,4114.053204000002,-4606.076823000001
2025-07-30,16098.814999999999,16098.815,20539.022288,21077.497182000003,4440.207288000001,-4978.682182000004
2025-07-29,16880.627800000002,16880.627800000002,21372.087693999998,21856.02457,4491.459893999996,-4975.396769999999
2025-07-28,16643.1237,16643.1237,21342.254704000003,21860.385573,4699.131004000003,-5217.2618729999995
2025-07-27,17054.2652,17054.2652,21716.013941,22241.744103999998,4661.748740999999,-5187.478903999996
2025-07-26,16569.1702,16569.1702,21203.776291000002,21766.202937,4634.6060910000015,-5197.032736999998
2025-07-25,16306.2973,16306.2973,21203.14602,21702.688429,4896.84872,-5396.3911290000015
2025-07-24,15727.7564,15727.7564,20487.664870999997,21052.408112,4759.908470999997,-5324.651712000001
2025-07-23,15848.7732,15848.773200000001,20552.412513,21087.031995999998,4703.639313,-5238.258795999998
2025-07-22,16189.382300000001,16189.382299999997,21060.701684,21561.986988,4871.3193839999985,-5372.604687999999
2025-07-21,16606.1686,16606.1686,21539.666504,22051.938722,4933.497904,-5445.770121999998
2025-07-20,17213.7244,17213.7244,22216.556164,22686.446532,5002.831764000002,-5472.722132000003
2025-07-19,16272.1482,16272.1482,20922.876401,21451.394472,4650.728201000002,-5179.246272
2025-07-18,17070.9017,17070.9017,22515.421834,22989.169223,5444.520134000002,-5918.267523000002
2025-07-17,16516.966,16516.966,21533.443058000004,22035.31294,5016.477058000004,-5518.346939999999
2025-07-16,16373.806600000002,16373.8066,21262.574194,21766.217456,4888.767593999999,-5392.410855999997
2025-07-15,16282.0383,16282.0383,21530.623904,22077.59474,5248.585604,-5795.55644
2025-07-14,17423.042,17423.042,22609.85975,23191.545195,5186.817749999998,-5768.5031949999975
2025-07-13,17902.115999999998,17902.116,23088.616345000002,23689.509171,5186.500345000004,-5787.393171000003
2025-07-12,16709.9245,16709.9245,21596.283039,22080.384647,4886.358539000001,-5370.460146999998
2025-07-11,16793.0206,16793.0206,21658.67661099999,22234.022891,4865.656010999992,-5441.002291000001
2025-07-10,15763.7594,15763.759399999999,20460.594334,21078.722677,4696.834934,-5314.963277000001
2025-07-09,15558.999800000001,15558.9998,20208.36145,20695.283360999998,4649.361649999999,-5136.283560999997
2025-07-08,15281.4279,15281.427899999999,19996.715322,20539.278325,4715.287421999999,-5257.850424999999
2025-07-07,15583.0854,15583.0854,20321.653689,20829.576747,4738.568288999999,-5246.491346999999
2025-07-06,16432.7899,16432.7899,21161.45228,21656.123066,4728.662380000002,-5223.333166
2025-07-05,15573.908800000001,15573.9088,20276.293815,20754.341039,4702.385015,-5180.432238999998
2025-07-04,15344.9687,15344.9687,19923.008286000004,20389.332528,4578.039586000004,-5044.363828
2025-07-03,15807.6682,15807.6682,20503.487839,21060.767032,4695.819639000001,-5253.098832
2025-07-02,15827.311899999999,15827.3119,20465.701815,20910.971805,4638.389915000002,-5083.659905000002
2025-07-01,15807.4934,15807.493400000001,20456.545389,20918.906458,4649.051989,-5111.413058000002
2025-06-30,15716.688200000002,15716.688199999999,19921.215361,20329.139922,4204.527160999996,-4612.451721999996
2025-06-29,16940.5909,16940.5909,21364.285612,21730.618437999998,4423.694712,-4790.0275379999985
2025-06-28,16415.8222,16415.822200000002,20977.93406,21402.290295,4562.111860000001,-4986.468095
2025-06-27,16657.0663,16657.0663,21493.819421,21982.319551,4836.753121000002,-5325.253251000002
2025-06-26,17262.944900000002,17262.9449,22946.910696,23516.086263,5683.965795999997,-6253.141362999999
2025-06-25,15959.395900000001,15959.3959,20810.456841,21335.823727,4851.060940999998,-5376.427826999998
2025-06-24,14214.1721,14214.1721,18436.515585,18875.032514,4222.343485000001,-4660.860413999999
2025-06-23,14567.593999999997,14567.594000000001,19137.252386,19583.459572,4569.658386000003,-5015.865572000002
2025-06-22,13888.6273,13888.6273,17965.633119,18447.903493,4077.005818999998,-4559.2761930000015
2025-06-21,13143.937,13143.937,17269.091999,17782.725982,4125.154999,-4638.788982
2025-06-20,15538.1543,15538.1543,19254.397845,19645.207456,3716.2435449999994,-4107.053156
2025-06-19,17653.7466,17653.746600000002,22550.159368,23147.491383,4896.412768000002,-5493.744783000002
2025-06-18,16292.9501,16292.9501,20911.842484,21453.718477,4618.892384000001,-5160.7683769999985
2025-06-17,16051.2644,16051.2644,20744.915081,21284.761251,4693.650680999999,-5233.496851
2025-06-16,16785.911,16785.911,21605.671056,22089.619251,4819.760055999999,-5303.708251
2025-06-15,20789.792,20789.792,26041.46313,26631.008009,5251.671129999999,-5841.216009
2025-06-14,20215.418299999998,20215.4183,25479.179485000004,26026.588906,5263.761185000007,-5811.170606000003
2025-06-13,18172.4111,18172.411099999998,22994.256731,23612.800223,4821.845631,-5440.389122999997
2025-06-12,16797.3053,16797.3053,21658.967684,22221.393423999998,4861.662383999999,-5424.088123999998
2025-06-11,16316.6547,16316.6547,21057.586854,21603.261273,4740.932154000002,-5286.606573000001
